[10/11/2021-21:59:00]	[PLACED]	[10/11/2021-21:59:00]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <8844.375000, 3.155026, 2162.640625>, Target: BBP_T2_Door_Door | Player: Darrel Dixison [76561198113511268]
[10/11/2021-21:59:06]	[ARMED]		[10/11/2021-21:59:06]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <8844.291016, 3.807841, 2161.474854>, Target: BBP_T2_Door_Door | Player: Darrel Dixison [76561198113511268]
[10/11/2021-21:59:45]	[PLACED]	[10/11/2021-21:59:45]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <8847.614258, 3.145908, 2154.395264>, Target: BBP_T3_Door_Door | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:00:19]	[PLACED]	[10/11/2021-22:00:19]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <8847.613281, 3.144739, 2154.395996>, Target: BBP_T3_Door_Door | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:00:31]	[ARMED]		[10/11/2021-22:00:31]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <8846.049805, 3.685607, 2154.812256>, Target: BBP_T3_Door_Door | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:01:05]	[PLACED]	[10/11/2021-22:01:05]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <8847.103516, 3.144902, 2154.729736>, Target: BBP_T3_Door_Door | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:01:11]	[ARMED]		[10/11/2021-22:01:11]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <8846.032227, 3.987511, 2154.781738>, Target: BBP_T3_Door_Door | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:01:49]	[PLACED]	[10/11/2021-22:01:49]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <8835.602539, 3.138417, 2162.941162>, Target: BBP_T1_Door_Door | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:01:53]	[ARMED]		[10/11/2021-22:01:53]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <8836.775391, 3.700071, 2162.138916>, Target: BBP_T1_Door_Door | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:02:06]	[EXPLODED]	[10/11/2021-22:02:06]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <8844.291016, 3.807841, 2161.474854>, Target: BBP_T2_Door_Door, Damage done: 2 | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:02:06]	[DESTROYED]	[10/11/2021-22:02:06]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <8844.291016, 3.807841, 2161.474854>, Target: BBP_T2_Door_Door | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:03:31]	[EXPLODED]	[10/11/2021-22:03:31]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <8846.049805, 3.685607, 2154.812256>, Target: BBP_T3_Door_Door, Damage done: 2 | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:04:11]	[EXPLODED]	[10/11/2021-22:04:11]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <8846.032227, 3.987511, 2154.781738>, Target: BBP_T3_Door_Door, Damage done: 2 | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:04:11]	[DESTROYED]	[10/11/2021-22:04:11]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <8846.032227, 3.987511, 2154.781738>, Target: BBP_T3_Door_Door | Player: Darrel Dixison [76561198113511268]
[10/11/2021-22:04:53]	[EXPLODED]	[10/11/2021-22:04:53]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <8836.775391, 3.700071, 2162.138916>, Target: BBP_T1_Door_Door, Damage done: 1 | Player: Darrel Dixison [76561198113511268]
